name;description;exc;trade;;;;
CC388-2;HIK HD-TVI Turret Cam 1080p IR40m VF;889.00;1022.35;;DS-2CE79D0T-VFIT3F (2.7-13.5mm) (C);;
CC269;HD-TVI EXIR 5MP Turret Cam IR 30m 2.8mm;883.00;1015.45;5.0 HDTVI;DS-2CE76H8T-ITMF(2.8mm);;
CC269-1;HD-TVI EXIR 5MP Dome Cam IR60m MVF;1576.00;1812.40;5.0 HDTVI;DS-2CE56H8T-AITZF(2.7-13.5mm);;
;;;;;;;
CC98-3;HIK HD-TVI PTZ Camera CMOS 1080p 25 x OZ;4712.00;5418.80;;DS-2AE4225TI-D(O-STD)(E);;
CC95-1;HIK Speed Dome Keyboard Network Control;3741.00;4302.15;DS-1006KI;;;
CC468-2;HIK PTZ Brkt Pendant Mnt for CC99 CC99-1;366.00;420.90;DS-1662ZJ;;;
CC468-3;HIK PTZ Bracket Corner Mount White;452.00;519.80;;DS-1602ZJ-CORNER;;
CC468-4;HIK PTZ Bracket Pole Mount White;453.00;520.95;;DS-1602ZJ-POLE;;
CC468-5;HIK Compact PTZ Bracket Wall Mount White;312.00;358.80;DS-1602ZJ;;;
CC468-10;HIK Speed Dome EI Coupling Ring White;74.00;85.10;190400251;;;
CA21;SP Uni Cam Mnt Enclose 115x115x48mm;39.00;44.85;;;;
CA21-5;SP Enclose Blk Uni Cam Mnt 115x115x48mm;39.00;44.85;;;;
CA21-1;SP L Uni Cam Mnt Enclose 161x161x48mm Wh;59.00;67.85;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
;;;;;;;
CD61-1;HIK 4Ch Mini NVR 25Mbps 1 SATA H;;2547.00;2929.05;;DS-7104NI-Q1/4P;
CD62-1;HIK 8Ch Mini NVR 50Mbps 1 SATA 1;;3367.00;3872.05;;DS-7108NI-Q1/8P;
CD64-1;HIK 4Ch Mini NVR 1SATA 1HDMI No PoE 1TBH;;1905.00;2190.75;;DS-7104NI-Q1;
CD65-1;HIK 8Ch Mini NVR 1SATA 1HDMI No PoE 2TBH;;2274.00;2615.10;;DS-7108NI-Q1;
;;;;;;;
CD70-4;HIK 8 Ch NVR 80Mbps 8 PoE - 2 SATA Bay;;3748.00;4310.20;;DS-7608NI-K2/8P;
CD70-5;HIK 8 Ch NVR 80Mbps 8 PoE 2 SATA 2TB HD;;4967.00;5712.05;;DS-7608NI-K2/8P;
CD70-6;HIK 8 Ch NVR 80Mbps 8 PoE 2 SATA 4TBHDD;;5667.00;6517.05;;DS-7608NI-K2/8P;
CD71-4;HIK 8 Ch NVR 80Mbps;;2266.00;2605.90;;DS-7608NI-K2;
CD71-5;HIK 8 Ch NVR 80Mbps IO 2 SATA No PoE 3T;;3930.00;4519.50;;DS-7608NI-K2;
CD72-4;HIK 16 Ch NVR 160Mbps Alarm IO - No PoE;;2582.00;2969.30;;DS-7616NI-K2;
CD72-5;HIK 16 Ch NVR 160Mbps IO - No PoE  3TB;;4255.00;4893.25;;DS-7616NI-K2;
CD75;NVR HIKVISION 16 Channel Embedded no PoE;;5400.00;6210.00;;DS-7616NXI-I2/S;
CD75-1;HIK 16Ch NVR 160Mbps No PoE 2SATA 3TBHDD;;6283.20;7225.68;;DS-7616NXI-I2/S;
CD76-9;HIK 16Ch NVR 160Mbps 16PoE 2SATA AlarmIO;;5359.00;6162.85;;DS-7616NI-K2/16P;
CD76-3;HIK 16 Ch NVR 160Mbps 16PoE Alarm IO 3TB;;6857.00;7885.55;;DS-7616NI-K2/16P;
CD90;HIK 16ch AcuSense NVR with 4ch False Ala;;8352.00;9604.80;;DS-7716NXI-I4/S;
CD92;16 Channel AcuSense NVR 256Mbps with 16;;9198.00;10577.70;;DS-7716NXI-I4/16P/S;
CD94;HIK 16 Ch DeepInMind NVR with No PoE;;34975.44;40221.75;;iDS-9616NXI-I8/X;
CD74;HIK 32 Channel Embedded NVR 9632;;19961.00;22955.15;;DS-9632NXI-I8/S;
CD74-1;HIK 32 Channel Embedded NVR 9632 3TB HDD;;20275.00;23316.25;;DS-9632NXI-I8/S;
CD91;HIK 32ch AcuSense NVR with 4ch False Ala;;9282.00;10674.30;;DS-7732NXI-I4/S;
CD93;32 Channel AcuSense NVR 256Mbps with 16;;12176.00;14002.40;;DS-7732NXI-I4/16P/S;
CD95;HIK 32 Ch DeepInMind NVR with No PoE;;37164.93;42739.67;;iDS-9632NXI-I8/X;
CD77;HIKVISION Embedded NVR 64 Channel 160Mbp;;29858.74;34337.55;On;DS-9664NXI-I8/S;
CD77-1;HIKVISION NVR 64 Channel 160Mbp 4TBHDD;;31001.00;35651.15;Request;DS-9664NXI-I8/S;
CDC999-HC;CCTV R250 Dell Video Management Server;;57867.00;66547.05;;DELLR250-REG;
